match_year,team_A,team_B,score_A,score_B
2008-2009,Real Madrid,Deportivo La Coruna,1,0
2008-2009,Real Madrid,Osasuna,3,1
2008-2009,Real Madrid,Real Mallorca,3,0
2008-2009,Real Madrid,Villarreal,1,0
2008-2009,Real Madrid,Valencia,1,0
2008-2009,Real Madrid,Barcelona,0,2
2008-2009,Real Madrid,Zenit St. Petersburg,3,0
2008-2009,Real Madrid,Sevilla,3,4
2008-2009,Real Madrid,Getafe,1,3
2008-2009,Real Madrid,BATE Borisov,1,0
2008-2009,Real Madrid,Recreativo Huelva,1,0
2008-2009,Real Madrid,Real Valladolid,0,1
2008-2009,Real Madrid,Real Union Irun,4,3
2008-2009,Real Madrid,Malaga,4,3
2008-2009,Real Madrid,Juventus,0,2
2008-2009,Real Madrid,Almeria,1,1
2008-2009,Real Madrid,Real Union Irun,2,3
2008-2009,Real Madrid,Athletic Bilbao,3,2
2008-2009,Real Madrid,Juventus,1,2
2008-2009,Real Madrid,Atletico Madrid,2,1
2008-2009,Real Madrid,Espanyol,2,2
2008-2009,Real Madrid,Zenit St. Petersburg,2,1
2008-2009,Real Madrid,Real Betis,2,1
2008-2009,Real Madrid,Sporting Gijon,7,1
2008-2009,Real Madrid,Racing Santander,2,0
2008-2009,Real Madrid,BATE Borisov,2,0
2008-2009,Real Madrid,Numancia,4,3
2008-2009,Real Madrid,Deportivo La Coruna,1,2
2008-2009,Real Madrid,Sporting Lisbon,5,3
2008-2009,Real Madrid,Eintracht Frankfurt,1,1
2008-2009,Real Madrid,Arsenal,0,1
2008-2009,Real Madrid,Hamburg,2,1
2008-2009,Real Madrid,LASK,3,2
2007-2008,Real Madrid,Levante,5,2
2007-2008,Real Madrid,Real Zaragoza,2,2
2007-2008,Real Madrid,Barcelona,4,1
2007-2008,Real Madrid,Osasuna,2,1
2007-2008,Real Madrid,Athletic Bilbao,3,0
2007-2008,Real Madrid,Racing Santander,2,0
2007-2008,Real Madrid,Murcia,1,0
2007-2008,Real Madrid,Real Mallorca,1,1
2007-2008,Real Madrid,Sevilla,3,1
2007-2008,Real Madrid,Valencia,2,3
2007-2008,Real Madrid,Deportivo La Coruna,0,1
2007-2008,Real Madrid,Espanyol,2,1
2007-2008,Real Madrid,Roma,1,2
2007-2008,Real Madrid,Recreativo Huelva,3,2
2007-2008,Real Madrid,Getafe,0,1
2007-2008,Real Madrid,Roma,1,2
2007-2008,Real Madrid,Real Betis,1,2
2007-2008,Real Madrid,Real Valladolid,7,0
2007-2008,Real Madrid,Almeria,0,2
2007-2008,Real Madrid,Villarreal,3,2
2007-2008,Real Madrid,Atletico Madrid,2,0
2007-2008,Real Madrid,Real Mallorca,0,1
2007-2008,Real Madrid,Levante,2,0
2007-2008,Real Madrid,Real Mallorca,1,2
2007-2008,Real Madrid,Real Zaragoza,2,0
2007-2008,Real Madrid,Alicante,2,1
2007-2008,Real Madrid,Barcelona,1,0
2007-2008,Real Madrid,Alicante,1,1
2007-2008,Real Madrid,Osasuna,2,0
2007-2008,Real Madrid,Lazio,3,1
2007-2008,Real Madrid,Athletic Bilbao,1,0
2007-2008,Real Madrid,Racing Santander,3,1
2007-2008,Real Madrid,Werder Bremen,2,3
2007-2008,Real Madrid,Murcia,1,1
2007-2008,Real Madrid,Real Mallorca,4,3
2007-2008,Real Madrid,Olympiakos FC,0,0
2007-2008,Real Madrid,Sevilla,0,2
2007-2008,Real Madrid,Valencia,5,1
2007-2008,Real Madrid,Deportivo La Coruna,3,1
2007-2008,Real Madrid,Olympiakos FC,4,2
2007-2008,Real Madrid,Espanyol,1,2
2007-2008,Real Madrid,Recreativo Huelva,2,0
2007-2008,Real Madrid,Lazio,2,2
2007-2008,Real Madrid,Getafe,1,0
2007-2008,Real Madrid,Real Betis,2,0
2007-2008,Real Madrid,Real Valladolid,1,1
2007-2008,Real Madrid,Werder Bremen,2,1
2007-2008,Real Madrid,Almeria,3,1
2007-2008,Real Madrid,Villarreal,5,0
2007-2008,Real Madrid,Atletico Madrid,2,1
2006-2007,Real Madrid,Real Mallorca,3,1
2006-2007,Real Madrid,Real Zaragoza,2,2
2006-2007,Real Madrid,Deportivo La Coruna,3,1
2006-2007,Real Madrid,Recreativo Huelva,3,2
2006-2007,Real Madrid,Espanyol,4,3
2006-2007,Real Madrid,Sevilla,3,2
2006-2007,Real Madrid,Athletic Bilbao,4,1
2006-2007,Real Madrid,Valencia,2,1
2006-2007,Real Madrid,Racing Santander,1,2
2006-2007,Real Madrid,Osasuna,2,0
2006-2007,Real Madrid,Celta Vigo,2,1
2006-2007,Real Madrid,Gimnastic,2,0
2006-2007,Real Madrid,Barcelona,3,3
2006-2007,Real Madrid,Bayern Munich,1,2
2006-2007,Real Madrid,Getafe,1,1
2006-2007,Real Madrid,Atletico Madrid,1,1
2006-2007,Real Madrid,Bayern Munich,3,2
2006-2007,Real Madrid,Real Betis,0,0
2006-2007,Real Madrid,Real Sociedad,2,1
2006-2007,Real Madrid,Levante,0,1
2006-2007,Real Madrid,Villarreal,0,1
2006-2007,Real Madrid,Real Mallorca,1,0
2006-2007,Real Madrid,Real Betis,1,1
2006-2007,Real Madrid,Real Zaragoza,1,0
2006-2007,Real Madrid,Real Betis,0,0
2006-2007,Real Madrid,Deportivo La Coruna,0,2
2006-2007,Real Madrid,Recreativo Huelva,0,3
2006-2007,Real Madrid,Espanyol,1,0
2006-2007,Real Madrid,Sevilla,1,2
2006-2007,Real Madrid,Dynamo Kiev,2,2
2006-2007,Real Madrid,Athletic Bilbao,2,1
2006-2007,Real Madrid,Valencia,1,0
2006-2007,Real Madrid,Lyon,2,2
2006-2007,Real Madrid,Racing Santander,3,1
2006-2007,Real Madrid,Osasuna,4,1
2006-2007,Real Madrid,Ecija,5,1
2006-2007,Real Madrid,Celta Vigo,1,2
2006-2007,Real Madrid,FC Steaua Bucuresti,1,0
2006-2007,Real Madrid,Gimnastic,3,1
2006-2007,Real Madrid,Barcelona,2,0
2006-2007,Real Madrid,FC Steaua Bucuresti,4,1
2006-2007,Real Madrid,Getafe,0,1
2006-2007,Real Madrid,Atletico Madrid,1,1
2006-2007,Real Madrid,Dynamo Kiev,5,1
2006-2007,Real Madrid,Real Betis,1,0
2006-2007,Real Madrid,Real Sociedad,2,0
2006-2007,Real Madrid,Lyon,0,2
2006-2007,Real Madrid,Levante,4,1
2006-2007,Real Madrid,Villarreal,0,0
2005-2006,Real Madrid,Sevilla,3,4
2005-2006,Real Madrid,Villarreal,3,3
2005-2006,Real Madrid,Racing Santander,3,2
2005-2006,Real Madrid,Osasuna,1,0
2005-2006,Real Madrid,Malaga,2,1
2005-2006,Real Madrid,Getafe,1,1
2005-2006,Real Madrid,Real Sociedad,1,1
2005-2006,Real Madrid,Barcelona,1,1
2005-2006,Real Madrid,Deportivo La Coruna,4,0
2005-2006,Real Madrid,Real Zaragoza,1,1
2005-2006,Real Madrid,Real Betis,0,0
2005-2006,Real Madrid,Valencia,0,0
2005-2006,Real Madrid,Arsenal,0,0
2005-2006,Real Madrid,Atletico Madrid,2,1
2005-2006,Real Madrid,Real Mallorca,1,2
2005-2006,Real Madrid,Arsenal,0,1
2005-2006,Real Madrid,Alaves,3,0
2005-2006,Real Madrid,Real Zaragoza,4,0
2005-2006,Real Madrid,Athletic Bilbao,2,0
2005-2006,Real Madrid,Real Zaragoza,1,6
2005-2006,Real Madrid,Espanyol,4,0
2005-2006,Real Madrid,Celta Vigo,2,1
2005-2006,Real Madrid,Real Betis,1,0
2005-2006,Real Madrid,Cadiz,3,1
2005-2006,Real Madrid,Real Betis,1,0
2005-2006,Real Madrid,Sevilla,4,2
2005-2006,Real Madrid,Athletic Bilbao,4,0
2005-2006,Real Madrid,Villarreal,0,0
2005-2006,Real Madrid,Athletic Bilbao,1,0
2005-2006,Real Madrid,Racing Santander,1,2
2005-2006,Real Madrid,Osasuna,1,1
2005-2006,Real Madrid,Malaga,2,0
2005-2006,Real Madrid,Olympiakos FC,1,2
2005-2006,Real Madrid,Getafe,1,0
2005-2006,Real Madrid,Real Sociedad,2,2
2005-2006,Real Madrid,Lyon,1,1
2005-2006,Real Madrid,Barcelona,0,3
2005-2006,Real Madrid,PSV Eindhoven,4,4
2005-2006,Real Madrid,Real Zaragoza,1,0
2005-2006,Real Madrid,Rosenborg,2,0
2005-2006,Real Madrid,Real Betis,2,0
2005-2006,Real Madrid,Deportivo La Coruna,1,3
2005-2006,Real Madrid,Valencia,1,2
2005-2006,Real Madrid,Rosenborg,4,1
2005-2006,Real Madrid,Atletico Madrid,3,0
2005-2006,Real Madrid,Real Mallorca,4,0
2005-2006,Real Madrid,Olympiakos FC,2,1
2005-2006,Real Madrid,Alaves,3,0
2005-2006,Real Madrid,Athletic Bilbao,3,1
2005-2006,Real Madrid,Espanyol,0,1
2005-2006,Real Madrid,Lyon,0,3
2005-2006,Real Madrid,Celta Vigo,2,3
2005-2006,Real Madrid,Cadiz,2,1
2004-2005,Real Madrid,Real Zaragoza,3,1
2004-2005,Real Madrid,Atletico Madrid,0,0
2004-2005,Real Madrid,Sevilla,2,2
2004-2005,Real Madrid,Racing Santander,5,0
2004-2005,Real Madrid,Real Sociedad,2,0
2004-2005,Real Madrid,Villarreal,2,1
2004-2005,Real Madrid,Levante,2,0
2004-2005,Real Madrid,Barcelona,4,2
2004-2005,Real Madrid,Albacete,2,1
2004-2005,Real Madrid,Malaga,1,0
2004-2005,Real Madrid,Getafe,1,2
2004-2005,Real Madrid,Juventus,0,2
2004-2005,Real Madrid,Valencia,1,1
2004-2005,Real Madrid,Real Betis,3,1
2004-2005,Real Madrid,Deportivo La Coruna,0,2
2004-2005,Real Madrid,Juventus,1,0
2004-2005,Real Madrid,Athletic Bilbao,0,2
2004-2005,Real Madrid,Osasuna,2,1
2004-2005,Real Madrid,Espanyol,4,0
2004-2005,Real Madrid,Numancia,2,1
2004-2005,Real Madrid,Real Mallorca,3,1
2004-2005,Real Madrid,Real Zaragoza,3,1
2004-2005,Real Madrid,Atletico Madrid,3,0
2004-2005,Real Madrid,Real Sociedad,2,1
2004-2005,Real Madrid,Sevilla,0,1
2004-2005,Real Madrid,Racing Santander,3,2
2004-2005,Real Madrid,Roma,3,0
2004-2005,Real Madrid,Villarreal,0,0
2004-2005,Real Madrid,Levante,5,0
2004-2005,Real Madrid,Bayer Leverkusen,1,1
2004-2005,Real Madrid,Barcelona,0,3
2004-2005,Real Madrid,Albacete,6,1
2004-2005,Real Madrid,Malaga,2,0
2004-2005,Real Madrid,Dynamo Kiev,2,2
2004-2005,Real Madrid,Getafe,2,0
2004-2005,Real Madrid,Valencia,1,0
2004-2005,Real Madrid,Dynamo Kiev,1,0
2004-2005,Real Madrid,Real Betis,1,1
2004-2005,Real Madrid,Deportivo La Coruna,0,1
2004-2005,Real Madrid,Roma,4,2
2004-2005,Real Madrid,Athletic Bilbao,1,2
2004-2005,Real Madrid,Osasuna,1,0
2004-2005,Real Madrid,Espanyol,0,1
2004-2005,Real Madrid,Bayer Leverkusen,0,3
2004-2005,Real Madrid,Numancia,1,0
2004-2005,Real Madrid,Real Mallorca,1,0
2004-2005,Real Madrid,Wisla Krakow,3,1
2004-2005,Real Madrid,Wisla Krakow,2,0
2003-2004,Real Madrid,Real Sociedad,1,4
2003-2004,Real Madrid,Murcia,1,2
2003-2004,Real Madrid,Real Mallorca,2,3
2003-2004,Real Madrid,Deportivo La Coruna,0,2
2003-2004,Real Madrid,Barcelona,1,2
2003-2004,Real Madrid,Atletico Madrid,2,1
2003-2004,Real Madrid,Osasuna,0,3
2003-2004,Real Madrid,Monaco,1,3
2003-2004,Real Madrid,Albacete,2,1
2003-2004,Real Madrid,Sevilla,5,1
2003-2004,Real Madrid,Athletic Bilbao,2,4
2003-2004,Real Madrid,Real Zaragoza,2,3
2003-2004,Real Madrid,Real Zaragoza,1,1
2003-2004,Real Madrid,Bayern Munich,1,0
2003-2004,Real Madrid,Racing Santander,1,1
2003-2004,Real Madrid,Celta Vigo,4,2
2003-2004,Real Madrid,Bayern Munich,1,1
2003-2004,Real Madrid,Espanyol,4,2
2003-2004,Real Madrid,Valencia,1,1
2003-2004,Real Madrid,Sevilla,0,1
2003-2004,Real Madrid,Malaga,2,1
2003-2004,Real Madrid,Sevilla,2,0
2003-2004,Real Madrid,Real Valladolid,3,2
2003-2004,Real Madrid,Valencia,2,1
2003-2004,Real Madrid,Villarreal,2,1
2003-2004,Real Madrid,Valencia,3,0
2003-2004,Real Madrid,Real Betis,1,1
2003-2004,Real Madrid,Eibar,2,0
2003-2004,Real Madrid,Real Sociedad,0,1
2003-2004,Real Madrid,Eibar,1,1
2003-2004,Real Madrid,Murcia,1,0
2003-2004,Real Madrid,Real Mallorca,3,1
2003-2004,Real Madrid,Leganes,4,3
2003-2004,Real Madrid,Deportivo La Coruna,2,1
2003-2004,Real Madrid,FC Porto,1,1
2003-2004,Real Madrid,Barcelona,2,1
2003-2004,Real Madrid,Atletico Madrid,2,0
2003-2004,Real Madrid,Osasuna,1,1
2003-2004,Real Madrid,Marseille,2,1
2003-2004,Real Madrid,Albacete,2,1
2003-2004,Real Madrid,Sevilla,1,4
2003-2004,Real Madrid,Partizan Belgrade,0,0
2003-2004,Real Madrid,Athletic Bilbao,3,0
2003-2004,Real Madrid,Real Zaragoza,0,0
2003-2004,Real Madrid,Racing Santander,3,1
2003-2004,Real Madrid,Partizan Belgrade,1,0
2003-2004,Real Madrid,Celta Vigo,2,0
2003-2004,Real Madrid,S.S. Reyes,3,0
2003-2004,Real Madrid,Espanyol,2,1
2003-2004,Real Madrid,FC Porto,3,1
2003-2004,Real Madrid,Valencia,0,2
2003-2004,Real Madrid,Malaga,3,1
2003-2004,Real Madrid,Marseille,4,2
2003-2004,Real Madrid,Real Valladolid,7,2
2003-2004,Real Madrid,Villarreal,1,1
2003-2004,Real Madrid,Real Betis,2,1
2002-2003,Real Madrid,Athletic Bilbao,3,1
2002-2003,Real Madrid,Celta Vigo,1,1
2002-2003,Real Madrid,Valencia,2,1
2002-2003,Real Madrid,Malaga,5,1
2002-2003,Real Madrid,Juventus,1,3
2002-2003,Real Madrid,Recreativo Huelva,0,0
2002-2003,Real Madrid,Juventus,2,1
2002-2003,Real Madrid,Real Mallorca,0,0
2002-2003,Real Madrid,Real Mallorca,1,5
2002-2003,Real Madrid,Sevilla,3,1
2002-2003,Real Madrid,Manchester United,3,4
2002-2003,Real Madrid,Barcelona,1,1
2002-2003,Real Madrid,Real Sociedad,2,4
2002-2003,Real Madrid,Manchester United,3,1
2002-2003,Real Madrid,Rayo Vallecano,3,1
2002-2003,Real Madrid,Deportivo La Coruna,2,0
2002-2003,Real Madrid,Villarreal,1,0
2002-2003,Real Madrid,Racing Santander,4,1
2002-2003,Real Madrid,Alaves,5,1
2002-2003,Real Madrid,Real Valladolid,3,1
2002-2003,Real Madrid,Osasuna,0,1
2002-2003,Real Madrid,Real Betis,4,1
2002-2003,Real Madrid,Espanyol,2,2
2002-2003,Real Madrid,Athletic Bilbao,1,1
2002-2003,Real Madrid,Celta Vigo,1,0
2002-2003,Real Madrid,Valencia,4,1
2002-2003,Real Madrid,Sevilla,3,0
2002-2003,Real Madrid,Malaga,3,2
2002-2003,Real Madrid,NEC Nijmegen,0,0
2002-2003,Real Madrid,Recreativo Huelva,4,2
2002-2003,Real Madrid,Real Mallorca,5,1
2002-2003,Real Madrid,Barcelona,0,0
2002-2003,Real Madrid,Real Sociedad,0,0
2002-2003,Real Madrid,Racing Genk,1,1
2002-2003,Real Madrid,Rayo Vallecano,3,2
2002-2003,Real Madrid,Deportivo La Coruna,0,0
2002-2003,Real Madrid,Roma,0,1
2002-2003,Real Madrid,Villarreal,1,1
2002-2003,Real Madrid,AEK Athens (Grk),2,2
2002-2003,Real Madrid,Racing Santander,0,2
2002-2003,Real Madrid,Real Betis,1,1
2002-2003,Real Madrid,Alaves,5,2
2002-2003,Real Madrid,AEK Athens (Grk),3,3
2002-2003,Real Madrid,Genk,6,0
2002-2003,Real Madrid,Osasuna,4,1
2002-2003,Real Madrid,Roma,3,0
2002-2003,Real Madrid,Espanyol,2,0
2002-2003,Real Madrid,Liverpool,2,0
2001-2002,Real Madrid,Bayer Leverkusen,2,1
2001-2002,Real Madrid,Deportivo La Coruna,0,3
2001-2002,Real Madrid,Real Mallorca,0,0
2001-2002,Real Madrid,Barcelona,1,1
2001-2002,Real Madrid,Real Sociedad,0,3
2001-2002,Real Madrid,Barcelona,2,0
2001-2002,Real Madrid,Tenerife,4,1
2001-2002,Real Madrid,Osasuna,1,3
2001-2002,Real Madrid,Bayern Munich,2,0
2001-2002,Real Madrid,Rayo Vallecano,3,1
2001-2002,Real Madrid,Bayern Munich,1,2
2001-2002,Real Madrid,Sevilla,1,0
2001-2002,Real Madrid,Real Zaragoza,3,1
2001-2002,Real Madrid,Barcelona,1,1
2001-2002,Real Madrid,Villarreal,3,0
2001-2002,Real Madrid,Deportivo La Coruna,1,2
2001-2002,Real Madrid,Celta Vigo,1,0
2001-2002,Real Madrid,Alaves,3,1
2001-2002,Real Madrid,Athletic Bilbao,1,2
2001-2002,Real Madrid,Las Palmas,7,0
2001-2002,Real Madrid,Real Valladolid,1,2
2001-2002,Real Madrid,Espanyol,1,2
2001-2002,Real Madrid,Real Betis,1,1
2001-2002,Real Madrid,Malaga,1,1
2001-2002,Real Madrid,Valencia,1,0
2001-2002,Real Madrid,Deportivo La Coruna,3,1
2001-2002,Real Madrid,Real Mallorca,1,1
2001-2002,Real Madrid,Real Sociedad,3,1
2001-2002,Real Madrid,Tenerife,2,0
2001-2002,Real Madrid,Osasuna,2,1
2001-2002,Real Madrid,Rayo Vallecano,3,0
2001-2002,Real Madrid,Sevilla,2,1
2001-2002,Real Madrid,Real Zaragoza,1,2
2001-2002,Real Madrid,Barcelona,2,0
2001-2002,Real Madrid,Lokomotiv Moscow,0,2
2001-2002,Real Madrid,Villarreal,3,2
2001-2002,Real Madrid,PSV Eindhoven,0,2
2001-2002,Real Madrid,Roma,1,1
2001-2002,Real Madrid,Celta Vigo,1,1
2001-2002,Real Madrid,Anderlecht,2,0
2001-2002,Real Madrid,Alaves,0,0
2001-2002,Real Madrid,Athletic Bilbao,2,0
2001-2002,Real Madrid,Las Palmas,2,4
2001-2002,Real Madrid,Real Valladolid,2,2
2001-2002,Real Madrid,Anderlecht,4,1
2001-2002,Real Madrid,Espanyol,5,1
2001-2002,Real Madrid,Lokomotiv Moscow,4,0
2001-2002,Real Madrid,Real Betis,1,3
2001-2002,Real Madrid,Roma,2,1
2001-2002,Real Madrid,Malaga,1,1
2001-2002,Real Madrid,Valencia,0,1
2000-2001,Real Madrid,Real Valladolid,2,1
2000-2001,Real Madrid,Real Oviedo,1,1
2000-2001,Real Madrid,Alaves,5,0
2000-2001,Real Madrid,Rayo Vallecano,1,0
2000-2001,Real Madrid,Espanyol,2,2
2000-2001,Real Madrid,Bayern Munich,1,2
2000-2001,Real Madrid,Celta Vigo,0,3
2000-2001,Real Madrid,Bayern Munich,0,1
2000-2001,Real Madrid,Osasuna,1,1
2000-2001,Real Madrid,Real Zaragoza,3,2
2000-2001,Real Madrid,Galatasaray,3,0
2000-2001,Real Madrid,Villarreal,4,0
2000-2001,Real Madrid,Las Palmas,1,0
2000-2001,Real Madrid,Galatasaray,2,3
2000-2001,Real Madrid,Numancia,1,0
2000-2001,Real Madrid,Real Mallorca,0,1
2000-2001,Real Madrid,Real Sociedad,4,0
2000-2001,Real Madrid,Barcelona,2,2
2000-2001,Real Madrid,Deportivo La Coruna,2,2
2000-2001,Real Madrid,Standard Liege,1,0
2000-2001,Real Madrid,Athletic Bilbao,0,1
2000-2001,Real Madrid,Malaga,4,3
2000-2001,Real Madrid,Valencia,1,0
2000-2001,Real Madrid,Real Zaragoza,3,0
2000-2001,Real Madrid,Real Valladolid,2,2
2000-2001,Real Madrid,Real Oviedo,4,0
2000-2001,Real Madrid,Alaves,3,1
2000-2001,Real Madrid,Rayo Vallecano,3,1
2000-2001,Real Madrid,Espanyol,2,1
2000-2001,Real Madrid,Celta Vigo,3,0
2000-2001,Real Madrid,Osasuna,3,2
2000-2001,Real Madrid,Villarreal,1,0
2000-2001,Real Madrid,Las Palmas,5,1
2000-2001,Real Madrid,Numancia,1,3
2000-2001,Real Madrid,Real Mallorca,0,2
2000-2001,Real Madrid,Real Sociedad,4,1
2000-2001,Real Madrid,S Lisbon,4,0
2000-2001,Real Madrid,Barcelona,0,2
2000-2001,Real Madrid,Deportivo La Coruna,3,0
